id,Day,Month,Year,Tminimum,Tmaximum,Tmean,RHmean,WS,ET,ET_M1,D_M1,ET_M2,D_M2,ET_M3,D_M3,ET_M4,D_M4,ET_M5,D_M5
1828,1         ,1         ,2005      ,12.4,20.3,6.3,58,2.03,2.8,3.26,0.46,2.58,0.22,6.36,3.56,3.82,1.02,3.32,0.52
1829,2         ,1         ,2005      ,12.1,19.4,5.9,60,1.29,2.3,1.45,0.85,1.82,0.48,0.49,1.81,1.72,0.58,0.02,2.28
1830,3         ,1         ,2005      ,12.8,20.2,8.4,56,1.6,2.6,2.77,0.17,2.51,0.09,5.59,2.99,1.76,0.84,8.26,5.66
1831,4         ,1         ,2005      ,11.8,19.1,6.1,60,1.41,2.3,0.8,1.5,1.62,0.68,0.66,1.64,1.9,0.4,0.88,1.42
1832,5         ,1         ,2005      ,13.0,19.8,7.5,54,0.98,2.2,0.32,1.88,2.15,0.05,-0.21,2.41,3.46,1.26,7.59,5.39
1833,6         ,1         ,2005      ,14.7,21.8,10.1,49,1.2,2.6,3.81,1.21,1.96,0.64,1.54,1.06,1.78,0.82,5.37,2.77
1834,7         ,1         ,2005      ,14.7,21.9,9.7,48,1.35,2.7,4.5,1.8,3.04,0.34,6.42,3.72,3.77,1.07,7.23,4.53
1835,8         ,1         ,2005      ,16.6,24.3,9.2,45,1.82,3.4,4.32,0.92,3.91,0.51,1.03,2.37,2.77,0.63,0.89,2.51
1836,9         ,1         ,2005      ,16.4,24.3,10.4,47,1.59,3.2,4.51,1.31,2.99,0.21,0.0600000000000001,3.14,3.4,0.2,-0.47,3.67
1837,10        ,1         ,2005      ,14.5,23.0,8.1,47,1.73,3.2,2.56,0.64,2.39,0.81,1.41,1.79,3.65,0.45,4.85,1.65
1838,11        ,1         ,2005      ,14.6,22.3,7.5,34,1.16,2.8,3.82,1.02,2.72,0.08,3.24,0.44,2.81,0.01,8.42,5.62
1839,12        ,1         ,2005      ,14.5,22.1,6.8,31,1.16,2.9,2.55,0.35,2.22,0.68,1.28,1.62,2.51,0.39,3.69,0.79
1840,13        ,1         ,2005      ,16.1,24.3,9.1,28,1.52,3.5,2.76,0.74,2.65,0.85,3.77,0.27,2.38,1.12,-1.26,4.76
1841,14        ,1         ,2005      ,14.9,23.3,8.0,37,1.95,3.6,3.54,0.06,4.15,0.55,0.68,2.92,4.28,0.68,9.53,5.93
1842,15        ,1         ,2005      ,14.7,22.6,8.2,36,1.75,3.4,2.21,1.19,3.16,0.24,1.83,1.57,4.47,1.07,-0.5,3.9
1843,16        ,1         ,2005      ,14.8,21.7,10.0,37,2.77,4.1,5.67,1.57,4.61,0.51,6.84,2.74,4.6,0.5,2.82,1.28
1844,17        ,1         ,2005      ,13.9,20.6,9.4,47,2.14,3.2,2.3,0.9,3.08,0.12,4.19,0.99,2.32,0.88,6.24,3.04
1845,18        ,1         ,2005      ,14.4,21.7,7.0,23,1.61,3.5,2.21,1.29,4.21,0.71,1.33,2.17,3.94,0.44,2.48,1.02
1846,19        ,1         ,2005      ,13.6,21.7,5.8,26,1.41,3.2,3.81,0.61,3.12,0.08,4.02,0.82,4.37,1.17,5.38,2.18
1847,20        ,1         ,2005      ,13.8,19.4,9.5,23,0.95,2.6,0.66,1.94,2.02,0.58,-0.87,3.47,2.85,0.25,2.45,0.15
1848,21        ,1         ,2005      ,13.8,19.1,9.8,32,1.22,2.7,3.03,0.33,1.85,0.85,0.58,2.12,1.58,1.12,6.83,4.13
1849,22        ,1         ,2005      ,12.7,19.2,8.0,60,1.81,2.6,3.31,0.71,3.14,0.54,5.9,3.3,3.28,0.68,7.89,5.29
1850,23        ,1         ,2005      ,11.0,18.3,5.0,62,1.57,2.4,0.56,1.84,2.16,0.24,0.85,1.55,3.33,0.93,-0.87,3.27
1851,24        ,1         ,2005      ,12.8,18.4,8.4,48,1.2,2.4,2.83,0.43,2.81,0.41,2.6,0.2,1.91,0.49,1.16,1.24
1852,25        ,1         ,2005      ,12.6,17.6,8.8,56,1.06,2.2,0.65,1.55,2.09,0.11,1.63,0.57,2.94,0.74,7.42,5.22
1853,26        ,1         ,2005      ,14.0,22.0,6.5,53,1.19,2.8,3.68,0.88,3.51,0.71,4.15,1.35,2.5,0.3,2.42,0.38
1854,27        ,1         ,2005      ,13.6,20.6,8.6,57,1.71,2.8,4.06,1.26,2.4,0.4,1.08,1.72,3.96,1.16,7.16,4.36
1855,28        ,1         ,2005      ,11.4,19.4,6.0,63,1.29,2.5,1.91,0.59,1.92,0.58,0.4,2.1,2.38,0.12,2.38,0.12
1856,29        ,1         ,2005      ,10.9,18.8,4.2,56,1.96,2.9,4.08,1.18,3.17,0.27,0.0299999999999998,2.87,3.88,0.98,-0.6,3.5
1857,30        ,1         ,2005      ,11.0,18.6,4.5,44,1.52,2.9,2.6,0.3,3.44,0.54,1.77,1.13,4.13,1.23,4.37,1.47
1858,31        ,1         ,2005      ,11.6,20.6,4.1,41,2.03,3.5,5.13,1.63,3.26,0.24,1.2,2.3,2.71,0.79,0.86,2.64
1859,1         ,2         ,2005      ,12.7,21.3,4.9,32,1.55,3.4,3.42,0.02,4.23,0.83,4.35,0.95,3.05,0.35,4.01,0.61
1860,2         ,2         ,2005      ,15.6,23.2,7.2,23,1.06,3.2,1.86,1.34,3.31,0.11,6.4,3.2,4.41,1.21,4.98,1.78
1861,3         ,2         ,2005      ,14.9,23.5,6.8,24,1.71,4.0,2.07,1.93,3.3,0.7,4.38,0.38,3.83,0.17,-1.75,5.75
1862,4         ,2         ,2005      ,15.1,24.7,6.3,27,1.72,4.1,3.05,1.05,3.7,0.4,1.07,3.03,5.13,1.03,7.83,3.73
1863,5         ,2         ,2005      ,13.3,18.0,9.6,53,1.64,2.7,3.08,0.38,2.13,0.57,4.38,1.68,2.81,0.11,-2.19,4.89
1864,6         ,2         ,2005      ,13.5,20.2,8.7,77,1.89,2.5,3.27,0.77,2.77,0.27,0.45,2.05,1.53,0.97,5.37,2.87
1865,7         ,2         ,2005      ,14.2,19.8,8.5,79,1.19,2.3,2.21,0.09,1.43,0.87,5.13,2.83,2.7,0.4,6.33,4.03
1866,8         ,2         ,2005      ,15.0,22.1,8.6,76,2.23,2.9,2.22,0.68,2.67,0.23,3.98,1.08,2.12,0.78,0.9,2.0
1867,9         ,2         ,2005      ,16.8,23.4,12.8,75,1.86,2.8,1.0,1.8,2.06,0.74,0.95,1.85,2.45,0.35,5.97,3.17
1868,10        ,2         ,2005      ,16.6,20.8,14.1,82,2.59,2.3,3.43,1.13,2.73,0.43,2.81,0.51,3.51,1.21,1.76,0.54
1869,11        ,2         ,2005      ,18.1,25.5,11.6,67,1.27,3.1,4.62,1.52,2.4,0.7,4.38,1.28,2.94,0.16,1.39,1.71
1870,12        ,2         ,2005      ,19.6,27.0,14.6,57,1.55,3.6,2.76,0.84,3.99,0.39,-0.33,3.93,4.62,1.02,9.28,5.68
1871,13        ,2         ,2005      ,19.4,27.5,12.2,52,1.77,4.0,2.57,1.43,3.43,0.57,4.71,0.71,3.42,0.58,3.15,0.85
1872,14        ,2         ,2005      ,16.2,20.1,12.5,70,2.55,2.8,2.24,0.56,2.63,0.17,-0.56,3.36,1.84,0.96,7.62,4.82
1873,15        ,2         ,2005      ,18.2,25.6,13.3,59,3.66,4.5,2.62,1.88,3.73,0.77,6.51,2.01,4.9,0.4,1.7,2.8
1874,16        ,2         ,2005      ,15.1,22.9,7.8,51,1.72,3.5,3.23,0.27,3.36,0.14,0.32,3.18,2.24,1.26,-0.46,3.96
1875,17        ,2         ,2005      ,14.8,22.6,7.8,51,1.87,3.6,5.19,1.59,4.33,0.73,5.03,1.43,3.26,0.34,5.54,1.94
1876,18        ,2         ,2005      ,13.9,21.7,8.2,42,2.25,4.0,2.02,1.98,3.99,0.01,3.92,0.08,2.93,1.07,0.9,3.1
1877,19        ,2         ,2005      ,12.1,19.2,5.3,44,1.89,3.4,4.71,1.31,4.0,0.6,4.66,1.26,3.55,0.15,4.47,1.07
1878,20        ,2         ,2005      ,12.6,20.4,4.7,36,1.47,3.5,2.87,0.63,3.2,0.3,-0.41,3.91,2.49,1.01,5.74,2.24
1879,21        ,2         ,2005      ,13.0,20.8,5.8,38,1.6,3.6,4.62,1.02,2.7,0.9,4.29,0.69,4.18,0.58,1.4,2.2
1880,22        ,2         ,2005      ,15.3,22.4,7.5,33,1.03,3.3,2.96,0.34,3.13,0.17,-0.04,3.34,2.47,0.83,0.54,2.76
1881,23        ,2         ,2005      ,15.9,22.4,9.3,37,1.18,3.4,2.67,0.73,2.63,0.77,5.39,1.99,3.79,0.39,4.14,0.74
1882,24        ,2         ,2005      ,18.0,25.6,11.1,39,1.12,3.7,3.76,0.06,4.16,0.46,6.46,2.76,2.45,1.25,1.2,2.5
1883,25        ,2         ,2005      ,18.5,26.5,11.6,42,1.23,3.8,3.35,0.45,4.53,0.73,2.39,1.41,4.0,0.2,-2.08,5.88
1884,26        ,2         ,2005      ,18.9,25.9,11.6,47,1.2,3.7,5.47,1.77,3.37,0.33,3.76,0.06,2.64,1.06,2.06,1.64
1885,27        ,2         ,2005      ,21.8,29.0,14.4,43,1.29,4.2,3.1,1.1,4.8,0.6,1.49,2.71,4.82,0.62,-0.819999999999999,5.02
1886,28        ,2         ,2005      ,18.1,24.2,13.6,49,1.73,3.8,2.32,1.48,3.51,0.29,-0.0900000000000003,3.89,2.79,1.01,6.79,2.99
1887,1         ,3         ,2005      ,19.5,27.3,13.9,53,2.41,4.6,5.41,0.81,5.4,0.8,7.14,2.54,4.16,0.44,1.04,3.56
1888,2         ,3         ,2005      ,18.3,25.0,13.3,72,2.2,3.5,3.37,0.13,3.34,0.16,2.31,1.19,4.8,1.3,-1.82,5.32
1889,3         ,3         ,2005      ,21.5,30.4,13.0,58,2.05,4.8,5.32,0.52,5.56,0.76,8.64,3.84,5.18,0.38,2.1,2.7
1890,4         ,3         ,2005      ,21.4,30.0,14.8,49,1.93,4.9,3.05,1.85,4.44,0.46,4.29,0.61,6.01,1.11,1.64,3.26
1891,5         ,3         ,2005      ,22.7,31.2,15.2,42,1.5,4.8,4.57,0.23,5.43,0.63,8.07,3.27,4.86,0.06,9.82,5.02
1892,6         ,3         ,2005      ,21.3,28.0,14.6,58,1.5,4.0,5.56,1.56,3.67,0.33,4.44,0.44,3.07,0.93,6.4,2.4
1893,7         ,3         ,2005      ,22.6,29.8,15.9,44,1.18,4.2,2.25,1.95,4.22,0.02,1.51,2.69,3.71,0.49,3.83,0.37
1894,8         ,3         ,2005      ,24.0,31.0,17.4,44,2.63,5.7,6.97,1.27,5.5,0.2,2.63,3.07,6.57,0.87,3.56,2.14
1895,9         ,3         ,2005      ,21.5,26.8,15.9,60,2.54,4.3,5.96,1.66,5.1,0.8,2.58,1.72,4.0,0.3,-1.21,5.51
1896,10        ,3         ,2005      ,19.3,26.3,12.5,67,2.06,4.0,3.01,0.99,3.51,0.49,1.51,2.49,3.32,0.68,2.72,1.28
1897,11        ,3         ,2005      ,21.2,29.7,14.0,54,1.98,4.9,4.59,0.31,4.23,0.67,1.63,3.27,5.14,0.24,10.15,5.25
1898,12        ,3         ,2005      ,23.5,31.7,15.1,41,1.34,4.9,4.2,0.7,5.26,0.36,2.98,1.92,6.01,1.11,7.53,2.63
1899,13        ,3         ,2005      ,25.4,34.2,16.1,29,1.36,5.4,5.38,0.02,6.03,0.63,5.97,0.57,5.46,0.06,1.01,4.39
1900,14        ,3         ,2005      ,26.6,34.9,16.9,27,1.48,5.7,5.29,0.41,5.38,0.32,7.04,1.34,4.78,0.92,3.93,1.77
1901,15        ,3         ,2005      ,27.8,35.7,20.1,29,1.63,5.9,4.36,1.54,5.92,0.02,1.91,3.99,5.42,0.48,2.37,3.53
1902,16        ,3         ,2005      ,29.9,37.8,21.3,31,1.17,5.5,5.38,0.12,5.69,0.19,8.15,2.65,4.77,0.73,4.6,0.9
1903,17        ,3         ,2005      ,28.9,37.5,21.9,31,1.77,6.3,5.05,1.25,5.51,0.79,2.88,3.42,6.01,0.29,11.18,4.88
1904,18        ,3         ,2005      ,27.4,36.7,19.7,41,2.57,7.0,7.58,0.58,7.49,0.49,6.8,0.2,8.16,1.16,7.04,0.04
1905,19        ,3         ,2005      ,25.2,32.0,19.0,62,1.66,4.7,5.66,0.96,4.04,0.66,7.55,2.85,4.81,0.11,0.680000000000001,4.02
1906,20        ,3         ,2005      ,26.2,33.6,19.6,51,1.75,5.3,5.01,0.29,5.03,0.27,6.4,1.1,4.33,0.97,10.48,5.18
1907,21        ,3         ,2005      ,22.6,27.8,18.4,62,3.0,4.6,3.72,0.88,4.07,0.53,6.87,2.27,5.82,1.22,1.44,3.16
1908,22        ,3         ,2005      ,22.9,30.9,16.2,44,1.33,4.8,4.8,0.0,5.03,0.23,5.32,0.52,4.02,0.78,3.67,1.13
1909,23        ,3         ,2005      ,22.2,30.0,14.5,48,2.04,5.3,6.63,1.33,5.7,0.4,3.6,1.7,5.64,0.34,3.0,2.3
1910,24        ,3         ,2005      ,23.3,31.7,14.9,38,1.59,5.4,7.11,1.71,5.3,0.1,5.75,0.35,4.67,0.73,5.67,0.27
1911,25        ,3         ,2005      ,24.6,33.6,15.8,34,1.65,5.9,4.86,1.04,6.6,0.7,2.9,3.0,5.74,0.16,3.87,2.03
1912,26        ,3         ,2005      ,24.3,33.0,15.1,43,1.78,5.8,7.23,1.43,5.41,0.39,7.45,1.65,6.82,1.02,11.21,5.41
1913,27        ,3         ,2005      ,26.0,34.7,19.2,33,2.14,6.6,5.85,0.75,7.17,0.57,9.42,2.82,6.7,0.1,3.21,3.39
1914,28        ,3         ,2005      ,25.6,35.3,16.6,26,2.06,6.9,5.76,1.14,6.64,0.26,5.42,1.48,5.94,0.96,2.35,4.55
1915,29        ,3         ,2005      ,24.4,33.6,15.6,28,2.23,6.8,6.33,0.47,5.94,0.86,6.93,0.13,8.01,1.21,9.33,2.53
1916,30        ,3         ,2005      ,25.6,33.6,17.6,23,1.27,5.5,4.65,0.85,5.37,0.13,2.72,2.78,4.72,0.78,1.21,4.29
1917,31        ,3         ,2005      ,25.1,34.1,16.1,22,1.89,6.6,6.42,0.18,7.33,0.73,2.65,3.95,6.94,0.34,4.34,2.26
1918,1         ,4         ,2005      ,27.6,36.0,18.8,14,1.71,6.6,6.03,0.57,6.51,0.09,9.2,2.6,5.4,1.2,0.96,5.64
1919,2         ,4         ,2005      ,28.2,38.1,19.5,12,1.73,7.0,8.89,1.89,7.6,0.6,5.75,1.25,6.85,0.15,5.6,1.4
1920,3         ,4         ,2005      ,28.3,38.3,17.8,17,1.63,7.0,8.22,1.22,6.7,0.3,9.03,2.03,8.01,1.01,12.38,5.38
1921,4         ,4         ,2005      ,30.7,39.7,21.6,14,1.95,7.6,9.2,1.6,7.04,0.56,6.92,0.68,7.03,0.57,4.25,3.35
1922,5         ,4         ,2005      ,30.5,40.7,20.1,10,2.57,9.1,8.17,0.93,9.27,0.17,12.43,3.33,9.92,0.82,4.58,4.52
1923,6         ,4         ,2005      ,30.4,40.7,19.6,10,3.54,10.9,11.15,0.25,10.47,0.43,8.92,1.98,10.51,0.39,13.39,2.49
1924,7         ,4         ,2005      ,29.3,37.1,21.2,14,5.94,12.7,12.06,0.64,12.57,0.13,15.85,3.15,13.47,0.77,9.04,3.66
1925,8         ,4         ,2005      ,24.4,33.7,14.9,9,3.67,9.5,11.47,1.97,8.86,0.64,7.7,1.8,9.17,0.33,11.13,1.63
1926,9         ,4         ,2005      ,22.1,31.2,12.8,11,2.73,7.7,8.06,0.36,6.8,0.9,8.16,0.46,6.64,1.06,2.09,5.61
1927,10        ,4         ,2005      ,23.1,31.5,13.9,15,1.59,6.0,4.32,1.68,6.6,0.6,2.89,3.11,5.86,0.14,5.23,0.77
1928,11        ,4         ,2005      ,24.6,32.9,16.0,13,1.41,5.9,5.97,0.07,6.67,0.77,9.78,3.88,6.9,1.0,10.65,4.75
1929,12        ,4         ,2005      ,26.5,34.6,18.0,10,1.41,6.1,4.71,1.39,5.63,0.47,5.84,0.26,5.53,0.57,3.38,2.72
1930,13        ,4         ,2005      ,29.3,38.0,18.6,8,1.8,7.3,8.02,0.72,7.23,0.07,7.53,0.23,8.12,0.82,11.18,3.88
1931,14        ,4         ,2005      ,29.3,38.1,19.5,11,1.9,7.5,8.61,1.11,7.16,0.34,8.91,1.41,7.12,0.38,5.64,1.86
1932,15        ,4         ,2005      ,28.0,37.2,18.7,23,2.34,7.9,7.47,0.43,8.74,0.84,7.84,0.06,9.14,1.24,13.74,5.84
1933,16        ,4         ,2005      ,29.4,38.5,20.6,19,1.62,7.0,7.82,0.82,7.21,0.21,9.71,2.71,6.68,0.32,8.0,1.0
1934,17        ,4         ,2005      ,30.4,39.0,23.0,16,1.62,7.0,6.86,0.14,6.19,0.81,3.52,3.48,5.95,1.05,2.03,4.97
1935,18        ,4         ,2005      ,31.9,40.0,24.3,9,1.32,6.4,7.67,1.27,6.9,0.5,8.13,1.73,5.78,0.62,6.54,0.14
1936,19        ,4         ,2005      ,33.4,41.5,25.6,10,1.06,6.0,7.86,1.86,5.32,0.68,3.49,2.51,5.13,0.87,1.89,4.11
1937,20        ,4         ,2005      ,33.4,41.9,25.3,11,1.59,7.3,6.12,1.18,7.67,0.37,4.41,2.89,6.87,0.43,2.02,5.28
1938,21        ,4         ,2005      ,32.3,40.9,24.2,13,1.7,7.5,9.07,1.57,7.43,0.07,3.84,3.66,6.69,0.81,4.25,3.25
1939,22        ,4         ,2005      ,31.0,38.1,24.7,19,2.45,8.1,7.2,0.9,7.86,0.24,5.79,2.31,8.47,0.37,6.87,1.23
1940,23        ,4         ,2005      ,33.0,39.3,27.1,24,1.7,6.9,6.92,0.02,7.74,0.84,3.29,3.61,5.8,1.1,4.51,2.39
1941,24        ,4         ,2005      ,32.6,39.2,27.1,28,1.66,6.7,6.09,0.61,6.16,0.54,3.26,3.44,6.89,0.19,7.07,0.37
1942,25        ,4         ,2005      ,30.8,38.2,23.1,34,2.58,8.0,9.93,1.93,8.71,0.71,7.79,0.21,6.95,1.05,6.47,1.53
1943,26        ,4         ,2005      ,30.6,38.1,23.1,32,3.12,8.7,8.38,0.32,8.29,0.41,11.16,2.46,10.0,1.3,14.21,5.51
1944,27        ,4         ,2005      ,29.6,37.4,21.4,26,2.32,7.8,9.45,1.65,7.7,0.1,6.69,1.11,6.94,0.86,8.47,0.67
1945,28        ,4         ,2005      ,30.0,37.4,21.3,24,1.84,7.2,7.97,0.77,6.92,0.28,9.49,2.29,6.78,0.42,2.56,4.64
1946,29        ,4         ,2005      ,29.8,35.8,22.5,32,1.43,6.1,4.74,1.36,6.97,0.87,7.04,0.94,7.38,1.28,8.72,2.62
1947,30        ,4         ,2005      ,32.5,39.0,24.9,28,1.14,6.1,5.62,0.48,5.86,0.24,2.51,3.59,6.34,0.24,2.32,3.78
1948,1         ,5         ,2005      ,32.6,38.2,27.7,26,1.43,6.2,5.13,1.07,7.03,0.83,5.83,0.37,5.1,1.1,7.96,1.76
1949,2         ,5         ,2005      ,31.3,37.5,24.9,32,2.52,7.7,7.5,0.2,7.26,0.44,10.72,3.02,8.36,0.66,1.97,5.73
1950,3         ,5         ,2005      ,30.2,36.0,24.3,35,2.72,7.5,9.02,1.52,8.21,0.71,5.83,1.67,6.46,1.04,6.6,0.9
1951,4         ,5         ,2005      ,26.6,30.9,23.6,49,1.78,5.0,6.91,1.91,4.6,0.4,7.44,2.44,5.47,0.47,9.87,4.87
1952,5         ,5         ,2005      ,30.1,37.1,22.8,43,1.63,6.4,6.1,0.3,6.3,0.1,5.31,1.09,5.55,0.85,6.36,0.04
1953,6         ,5         ,2005      ,33.2,40.9,24.8,29,2.51,8.7,10.32,1.62,8.43,0.27,12.44,3.74,9.11,0.41,12.71,4.01
1954,7         ,5         ,2005      ,33.4,40.6,26.9,35,3.02,8.9,8.91,0.01,9.77,0.87,9.42,0.52,10.05,1.15,6.91,1.99
1955,8         ,5         ,2005      ,31.9,39.5,24.9,34,2.47,8.1,6.76,1.34,7.53,0.57,4.93,3.17,8.33,0.23,4.95,3.15
1956,9         ,5         ,2005      ,30.9,38.0,23.9,36,2.88,8.2,8.66,0.46,9.03,0.83,7.86,0.34,7.11,1.09,9.33,1.13
1957,10        ,5         ,2005      ,30.4,39.4,20.2,20,2.59,9.0,7.95,1.05,8.56,0.44,12.0,3.0,9.65,0.65,3.9,5.1
1958,11        ,5         ,2005      ,31.7,40.9,21.2,15,2.7,9.6,9.77,0.17,9.73,0.13,10.85,1.25,8.7,0.9,9.87,0.27
1959,12        ,5         ,2005      ,33.1,42.4,23.6,17,2.73,9.9,9.14,0.76,9.5,0.4,7.48,2.42,10.36,0.46,5.66,4.24
1960,13        ,5         ,2005      ,33.6,41.9,24.4,15,3.91,11.7,11.79,0.09,11.61,0.09,10.63,1.07,11.67,0.03,11.7,0.0
1961,14        ,5         ,2005      ,34.4,42.1,24.6,13,1.8,8.0,9.21,1.21,7.73,0.27,11.72,3.72,7.72,0.28,4.62,3.38
1962,15        ,5         ,2005      ,34.3,42.5,24.8,11,1.83,8.2,10.0,1.8,9.06,0.86,8.1,0.1,9.34,1.14,9.56,1.36
1963,16        ,5         ,2005      ,35.4,44.0,25.4,13,3.01,10.7,11.63,0.93,10.14,0.56,7.95,2.75,10.61,0.09,8.18,2.52
1964,17        ,5         ,2005      ,36.3,44.4,27.2,15,3.26,11.1,9.59,1.51,11.36,0.26,15.02,3.92,12.05,0.95,11.59,0.49
1965,18        ,5         ,2005      ,35.9,44.0,27.0,16,2.92,10.4,9.56,0.84,9.88,0.52,7.83,2.57,11.6,1.2,12.06,1.66
1966,19        ,5         ,2005      ,35.8,43.1,27.4,11,1.57,7.5,9.46,1.96,7.63,0.13,8.72,1.22,6.73,0.77,1.87,5.63
1967,20        ,5         ,2005      ,35.2,42.8,26.4,11,2.96,10.4,10.05,0.35,9.68,0.72,12.4,2.0,11.42,1.02,11.2,0.8
1968,21        ,5         ,2005      ,35.6,44.2,26.3,14,3.3,11.3,10.56,0.74,11.21,0.09,10.65,0.65,10.72,0.58,15.47,4.17
1969,22        ,5         ,2005      ,33.8,40.3,27.4,21,2.23,8.2,8.26,0.06,8.79,0.59,4.9,3.3,8.34,0.14,14.14,5.94
1970,23        ,5         ,2005      ,33.8,41.0,25.9,24,1.45,7.1,6.65,0.45,7.96,0.86,7.58,0.48,7.49,0.39,3.19,3.91
1971,24        ,5         ,2005      ,35.3,42.4,28.9,15,1.66,7.5,9.28,1.78,6.94,0.56,4.37,3.13,6.25,1.25,2.43,5.07
1972,25        ,5         ,2005      ,34.7,40.9,26.7,15,2.29,8.6,7.7,0.9,8.85,0.25,9.98,1.38,8.81,0.21,11.65,3.05
1973,26        ,5         ,2005      ,36.1,42.6,29.0,21,2.71,9.4,7.91,1.49,8.97,0.43,11.95,2.55,8.46,0.94,8.37,1.03
1974,27        ,5         ,2005      ,34.8,40.9,26.7,14,1.87,7.8,8.42,0.62,7.92,0.12,6.6,1.2,6.61,1.19,9.99,2.19
1975,28        ,5         ,2005      ,34.3,40.9,27.1,13,2.0,8.1,6.9,1.2,8.4,0.3,10.08,1.98,8.85,0.75,7.94,0.16
1976,29        ,5         ,2005      ,33.2,40.3,27.8,22,2.94,9.3,8.77,0.53,8.41,0.89,11.65,2.35,8.3,1.0,13.44,4.14
1977,30        ,5         ,2005      ,34.2,40.8,26.5,26,1.63,7.3,5.65,1.65,7.89,0.59,6.3,1.0,7.86,0.56,12.6,5.3
1978,31        ,5         ,2005      ,35.2,42.0,26.9,22,2.35,8.8,9.04,0.24,8.51,0.29,12.45,3.65,8.67,0.13,5.52,3.28
1979,1         ,6         ,2005      ,36.4,43.4,29.3,20,3.89,11.6,12.97,1.37,12.06,0.46,11.17,0.43,11.22,0.38,12.85,1.25
1980,2         ,6         ,2005      ,37.8,44.4,31.8,20,5.84,14.5,16.45,1.95,14.34,0.16,17.58,3.08,15.74,1.24,12.08,2.42
1981,3         ,6         ,2005      ,37.3,44.6,30.4,19,4.89,13.4,12.12,1.28,14.15,0.75,17.26,3.86,13.21,0.19,13.79,0.39
1982,4         ,6         ,2005      ,37.4,45.8,28.5,14,3.44,11.8,11.39,0.41,11.92,0.12,9.29,2.51,12.85,1.05,7.43,4.37
1983,5         ,6         ,2005      ,38.2,46.3,29.3,16,2.68,10.4,9.41,0.99,9.78,0.62,11.56,1.16,9.79,0.61,4.87,5.53
1984,6         ,6         ,2005      ,38.6,45.8,29.6,20,3.01,10.7,10.82,0.12,9.81,0.89,8.77,1.93,9.83,0.87,11.4,0.7
1985,7         ,6         ,2005      ,38.4,45.0,31.5,22,3.77,11.5,12.21,0.71,12.08,0.58,12.08,0.58,11.8,0.3,6.83,4.67
1986,8         ,6         ,2005      ,38.0,45.2,29.4,24,2.12,8.9,10.73,1.83,8.71,0.19,10.26,1.36,8.22,0.68,6.25,2.65
1987,9         ,6         ,2005      ,38.5,45.6,31.6,17,3.41,11.4,10.24,1.16,11.86,0.46,13.13,1.73,11.51,0.11,7.59,3.81
1988,10        ,6         ,2005      ,36.7,43.0,30.2,20,3.09,10.1,8.56,1.54,9.95,0.15,12.21,2.11,10.59,0.49,11.89,1.79
1989,11        ,6         ,2005      ,37.8,44.3,31.0,20,3.41,10.9,10.03,0.87,11.65,0.75,11.26,0.36,9.68,1.22,7.95,2.95
1990,12        ,6         ,2005      ,36.6,42.3,30.5,22,3.7,10.8,9.54,1.26,10.82,0.02,11.93,1.13,11.59,0.79,11.72,0.92
1991,13        ,6         ,2005      ,34.9,40.0,29.1,28,2.84,8.7,8.12,0.58,8.08,0.62,4.91,3.79,7.53,1.17,3.8,4.9
1992,14        ,6         ,2005      ,35.6,41.9,29.0,29,2.13,8.1,7.13,0.97,7.78,0.32,10.54,2.44,8.7,0.6,8.04,0.06
1993,15        ,6         ,2005      ,36.8,43.2,29.6,21,2.9,9.8,9.5,0.3,10.38,0.58,6.59,3.21,8.82,0.98,13.84,4.04
1994,16        ,6         ,2005      ,37.7,44.2,30.3,20,3.8,11.6,10.92,0.68,11.41,0.19,13.46,1.86,11.19,0.41,9.59,2.01
1995,17        ,6         ,2005      ,38.2,44.9,30.7,17,2.64,9.8,9.81,0.01,10.58,0.78,9.29,0.51,11.07,1.27,12.98,3.18
1996,18        ,6         ,2005      ,38.2,44.7,31.0,20,3.66,11.4,10.07,1.33,11.25,0.15,10.11,1.29,11.17,0.23,10.25,1.15
1997,19        ,6         ,2005      ,38.6,45.5,30.6,18,2.15,9.0,10.72,1.72,9.74,0.74,5.06,3.94,10.09,1.09,14.13,5.13
1998,20        ,6         ,2005      ,38.2,44.1,32.0,21,1.61,7.5,6.65,0.85,7.52,0.02,6.79,0.71,7.54,0.04,7.21,0.29
1999,21        ,6         ,2005      ,39.2,45.4,31.8,27,1.75,8.0,9.23,1.23,7.39,0.61,4.64,3.36,7.1,0.9,12.27,4.27
2000,22        ,6         ,2005      ,40.6,45.7,34.7,27,2.76,9.5,11.12,1.62,9.19,0.31,11.51,2.01,10.65,1.15,14.93,5.43
2001,23        ,6         ,2005      ,41.1,46.6,35.5,30,5.04,12.9,11.95,0.95,12.91,0.01,9.71,3.19,12.19,0.71,9.49,3.41
2002,24        ,6         ,2005      ,40.9,46.4,34.7,27,4.45,12.4,13.73,1.33,12.22,0.18,13.84,1.44,11.43,0.97,16.97,4.57
2003,25        ,6         ,2005      ,40.6,45.8,34.4,30,4.05,11.4,10.94,0.46,12.18,0.78,14.02,2.62,11.93,0.53,13.35,1.95
2004,26        ,6         ,2005      ,41.7,47.1,35.7,26,4.48,12.6,11.75,0.85,12.13,0.47,11.33,1.27,12.51,0.09,9.49,3.11
